date,City,employment,employment_rate,labour_force,participation_rate,population,unemployment,unemployment_rate
2021-12-01,Vancouver,1543.1,64.8,1634.8,68.6,2382.5,91.7,5.6
2022-01-01,Montreal,2261.2,63.4,2386.8,66.9,3569.1,125.6,5.3
2022-01-01,Toronto,3427.9,62.4,3759.0,68.4,5494.6,331.1,8.8
2022-01-01,Vancouver,1545.3,64.7,1631.1,68.3,2386.6,85.8,5.3
2022-02-01,Montreal,2281.1,63.9,2400.8,67.3,3569.7,119.7,5.0
2022-02-01,Toronto,3512.8,63.9,3769.4,68.5,5500.0,256.6,6.8
2022-02-01,Vancouver,1557.8,65.1,1636.9,68.4,2391.7,79.1,4.8
2022-03-01,Montreal,2284.7,64.0,2400.2,67.2,3571.9,115.5,4.8
2022-03-01,Toronto,3504.3,63.7,3738.2,67.9,5505.3,233.9,6.3
2022-03-01,Vancouver,1566.0,65.3,1652.8,69.0,2396.6,86.8,5.3
2022-04-01,Montreal,2278.4,63.7,2397.0,67.1,3574.2,118.6,4.9
2022-04-01,Toronto,3507.5,63.6,3751.7,68.1,5510.7,244.1,6.5
2022-04-01,Vancouver,1566.9,65.2,1649.9,68.7,2401.6,83.0,5.0
2022-05-01,Montreal,2288.0,64.0,2414.9,67.5,3577.4,127.0,5.3
2022-05-01,Toronto,3500.8,63.5,3719.3,67.4,5516.7,218.4,5.9
2022-05-01,Vancouver,1560.8,64.8,1641.9,68.2,2407.0,81.1,4.9
2022-06-01,Montreal,2281.7,63.7,2400.5,67.0,3581.0,118.9,5.0
2022-06-01,Toronto,3504.6,63.4,3719.0,67.3,5523.6,214.3,5.8
2022-06-01,Vancouver,1558.6,64.6,1635.7,67.8,2411.3,77.1,4.7
2022-07-01,Montreal,2292.2,63.9,2400.1,66.9,3585.3,107.9,4.5
2022-07-01,Toronto,3511.8,63.5,3720.9,67.3,5531.8,209.1,5.6
2022-07-01,Vancouver,1565.2,64.8,1641.2,68.0,2415.1,76.0,4.6
2022-08-01,Montreal,2309.9,64.3,2430.3,67.7,3590.0,120.4,5.0
2022-08-01,Toronto,3523.3,63.6,3741.6,67.5,5541.0,218.3,5.8
2022-08-01,Vancouver,1573.4,65.0,1646.2,68.0,2419.3,72.8,4.4
2022-09-01,Montreal,2305.1,64.1,2425.7,67.5,3594.5,120.6,5.0
2022-09-01,Toronto,3478.4,62.7,3705.2,66.8,5550.8,226.8,6.1
2022-09-01,Vancouver,1585.3,65.4,1652.1,68.2,2424.1,66.8,4.0
2022-10-01,Montreal,2325.2,64.6,2425.4,67.4,3598.6,100.2,4.1
2022-10-01,Toronto,3497.0,62.9,3737.0,67.2,5562.0,240.0,6.4
2022-10-01,Vancouver,1575.4,64.9,1659.2,68.3,2429.2,83.9,5.1
2022-11-01,Montreal,2332.0,64.7,2436.2,67.6,3603.7,104.2,4.3
2022-11-01,Toronto,3502.8,62.9,3748.2,67.3,5572.6,245.4,6.5
2022-11-01,Vancouver,1582.5,65.0,1659.8,68.2,2434.0,77.3,4.7
2022-12-01,Montreal,2358.6,65.3,2477.7,68.6,3609.2,119.1,4.8
2022-12-01,Toronto,3513.1,62.9,3734.5,66.9,5583.0,221.4,5.9
2022-12-01,Vancouver,1585.1,65.0,1657.7,68.0,2439.1,72.5,4.4
2023-01-01,Montreal,2387.5,66.0,2509.6,69.4,3615.9,122.1,4.9
2023-01-01,Toronto,3543.0,63.3,3770.8,67.4,5596.2,227.8,6.0
2023-01-01,Vancouver,1593.5,65.1,1678.3,68.6,2446.7,84.8,5.1
2023-02-01,Montreal,2365.8,65.3,2492.7,68.8,3622.4,126.8,5.1
2023-02-01,Toronto,3578.1,63.8,3792.5,67.6,5612.6,214.4,5.7
